foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q19957144,Neil Coyle,Q9630,Labour Party (UK),31723,Q30173038,General election 2019,1
Q75839015,,Humaira Ali,Q9624,Liberal Democrats (UK),15597,Q30173038,General election 2019,2
Q76363638,,Andrew Baker,Q9626,Conservative Party (UK),9678,Q30173038,General election 2019,3
Q76509821,,Alex Matthews,Q61651140,Brexit Party,1617,Q30173038,General election 2019,4
,Q19957144,Neil Coyle,Q9630,Labour Party (UK),31161,Q25052149,General election 2017,1
,Q334313,Simon Hughes,Q9624,Liberal Democrats (UK),18189,Q25052149,General election 2017,2
,Q76363409,Siobhan Baillie,Q9626,Conservative Party (UK),7581,Q25052149,General election 2017,3
,,Elizabeth Jones,Q10647,UK Independence Party,838,Q25052149,General election 2017,4
,,John Tyson,Q9669,Green Party of England and Wales,639,Q25052149,General election 2017,5
,Q42531073,James Clarke,Q327591,Independent politician,113,Q25052149,General election 2017,6
,Q19957144,Neil Coyle,Q9630,Labour Party (UK),22146,Q3586935,General election 2015,1
,Q334313,Simon Hughes,Q9624,Liberal Democrats (UK),17657,Q3586935,General election 2015,2
,,Jean-Paul Floru,Q9626,Conservative Party (UK),6051,Q3586935,General election 2015,3
,,Andy Beadle,Q10647,UK Independence Party,3254,Q3586935,General election 2015,4
,,William Lavin,Q9669,Green Party of England and Wales,2023,Q3586935,General election 2015,5
,,Kingsley Abrams,Q15715532,Left Unity (UK),142,Q3586935,General election 2015,6
,,Lucy Hall,Q327591,Independent politician,72,Q3586935,General election 2015,7
,,Donald Cole,Q48699727,All People's Party,59,Q3586935,General election 2015,8
,,Steve Freeman,Q98618506,Republican Socialist Party,20,Q3586935,General election 2015,9
,Q334313,Simon Hughes,Q9624,Liberal Democrats (UK),21590,Q215622,General election 2010,1
,Q7909147,Val Shawcross,Q6467393,Labour and Co-operative,13060,Q215622,General election 2010,2
,,Loanna Morrison,Q9626,Conservative Party (UK),7638,Q215622,General election 2010,3
,,Stephen Tyler,Q161269,British National Party,1370,Q215622,General election 2010,4
,,Tom Chance,Q9669,Green Party of England and Wales,718,Q215622,General election 2010,5
Q63852464,,Alan Kirkby,Q10647,UK Independence Party,155,Q215622,General election 2010,6
,,Steve Freeman,Q327591,Independent politician,120,Q215622,General election 2010,7
